[2025-12-08 18:32:39] Starting abnormal monitor (backend diff detection)
[2025-12-08 18:32:44] MFC7_DCS | 실제값: [2025-12-08 18:32:43] [0.0] | 예측값: [2025-12-08 18:32:43] [0.0003291997] | diff_abs: 0.0003, diff_pct: 0.03% | 정상
[2025-12-08 18:32:44] MFC8_NH3 | 실제값: [2025-12-08 18:32:42] [0.0] | 예측값: [2025-12-08 18:32:42] [-0.014706923] | diff_abs: 0.0147, diff_pct: 1.47% | 정상
[2025-12-08 18:32:44] MFC8_NH3 | 실제값: [2025-12-08 18:32:43] [0.0] | 예측값: [2025-12-08 18:32:43] [-0.0124333855] | diff_abs: 0.0124, diff_pct: 1.24% | 정상
[2025-12-08 18:32:44] MFC1_N2-1 | 실제값: [2025-12-08 18:32:42] [0.999] | 예측값: [2025-12-08 18:32:42] [1.0144318] | diff_abs: 0.0154, diff_pct: 1.54% | 정상
[2025-12-08 18:32:44] MFC1_N2-1 | 실제값: [2025-12-08 18:32:43] [1.128] | 예측값: [2025-12-08 18:32:43] [1.1542188] | diff_abs: 0.0262, diff_pct: 2.32% | 정상
[2025-12-08 18:32:44] MFC2_N2-2 | 실제값: [2025-12-08 18:32:42] [0.0] | 예측값: [2025-12-08 18:32:42] [0.011100831] | diff_abs: 0.0111, diff_pct: 1.11% | 정상
[2025-12-08 18:32:44] MFC2_N2-2 | 실제값: [2025-12-08 18:32:43] [0.0] | 예측값: [2025-12-08 18:32:43] [0.010427878] | diff_abs: 0.0104, diff_pct: 1.04% | 정상
[2025-12-08 18:32:44] MFC3_N2-3 | 실제값: [2025-12-08 18:32:42] [0.996] | 예측값: [2025-12-08 18:32:42] [0.990144] | diff_abs: 0.0059, diff_pct: 0.59% | 정상
[2025-12-08 18:32:44] MFC3_N2-3 | 실제값: [2025-12-08 18:32:43] [0.996] | 예측값: [2025-12-08 18:32:43] [0.98907804] | diff_abs: 0.0069, diff_pct: 0.69% | 정상
[2025-12-08 18:32:44] MFC4_N2-4 | 실제값: [2025-12-08 18:32:42] [0.501] | 예측값: [2025-12-08 18:32:42] [0.49951705] | diff_abs: 0.0015, diff_pct: 0.30% | 정상
[2025-12-08 18:32:44] MFC4_N2-4 | 실제값: [2025-12-08 18:32:43] [0.501] | 예측값: [2025-12-08 18:32:43] [0.4996902] | diff_abs: 0.0013, diff_pct: 0.26% | 정상
[2025-12-08 18:32:45] MFC7_DCS | 실제값: [2025-12-08 18:32:43] [0.0] | 예측값: [2025-12-08 18:32:43] [0.0003291997] | diff_abs: 0.0003, diff_pct: 0.03% | 정상
[2025-12-08 18:32:45] MFC7_DCS | 실제값: [2025-12-08 18:32:44] [0.0] | 예측값: [2025-12-08 18:32:44] [0.0008395612] | diff_abs: 0.0008, diff_pct: 0.08% | 정상
[2025-12-08 18:32:45] MFC8_NH3 | 실제값: [2025-12-08 18:32:43] [0.0] | 예측값: [2025-12-08 18:32:43] [-0.0124333855] | diff_abs: 0.0124, diff_pct: 1.24% | 정상
[2025-12-08 18:32:45] MFC8_NH3 | 실제값: [2025-12-08 18:32:44] [0.0] | 예측값: [2025-12-08 18:32:44] [-0.014856761] | diff_abs: 0.0149, diff_pct: 1.49% | 정상
[2025-12-08 18:32:45] MFC1_N2-1 | 실제값: [2025-12-08 18:32:43] [1.128] | 예측값: [2025-12-08 18:32:43] [1.1542188] | diff_abs: 0.0262, diff_pct: 2.32% | 정상
[2025-12-08 18:32:45] MFC1_N2-1 | 실제값: [2025-12-08 18:32:44] [1.441] | 예측값: [2025-12-08 18:32:44] [1.4625654] | diff_abs: 0.0216, diff_pct: 1.50% | 정상
[2025-12-08 18:32:45] MFC2_N2-2 | 실제값: [2025-12-08 18:32:43] [0.0] | 예측값: [2025-12-08 18:32:43] [0.010427878] | diff_abs: 0.0104, diff_pct: 1.04% | 정상
[2025-12-08 18:32:45] MFC2_N2-2 | 실제값: [2025-12-08 18:32:44] [0.0] | 예측값: [2025-12-08 18:32:44] [0.011081154] | diff_abs: 0.0111, diff_pct: 1.11% | 정상
[2025-12-08 18:32:45] MFC3_N2-3 | 실제값: [2025-12-08 18:32:43] [0.996] | 예측값: [2025-12-08 18:32:43] [0.98907804] | diff_abs: 0.0069, diff_pct: 0.69% | 정상
[2025-12-08 18:32:45] MFC3_N2-3 | 실제값: [2025-12-08 18:32:44] [0.996] | 예측값: [2025-12-08 18:32:44] [0.98791534] | diff_abs: 0.0081, diff_pct: 0.81% | 정상
[2025-12-08 18:32:45] MFC4_N2-4 | 실제값: [2025-12-08 18:32:43] [0.501] | 예측값: [2025-12-08 18:32:43] [0.4996902] | diff_abs: 0.0013, diff_pct: 0.26% | 정상
